term,pos,notes,is_case_sensitive,translation_zh_cn,notes_zh_cn
encumbrance,noun,refers to clothing encumbrance,false,累赘,
engagement rule,noun,,false,作战条令,
engine,noun,,false,引擎,
engrave,verb,,false,,
entrails,noun,,false,内脏,
epoxy,noun,,false,,
escape pod,noun,,false,,
espatier,,Space Marine.,false,星际战士,
essence,noun,,false,精萃,
estoc,noun,,false,,
examine,verb,,false,,
exosuit,,Aftershock的exoskeleton suit，此处为游戏性方便私译为动力装甲。,false,动力装甲,
exosuit,noun,Aftershock的exoskeleton suit，此处为游戏性方便私译为动力装甲。,false,动力装甲,
expansion,noun,additional construction for camps,false,扩展区,营地的额外建设
extended magazine,noun,larger magazine for guns,false,扩充弹匣,
eyebot,,,false,,
eyebot,noun,,false,,
eyestalk,noun,,false,,
fabric,,,false,,
faction,noun,,false,派系,
faction camp,noun,,false,派系营地,
factions,noun,,false,派系,
factory specification,noun,,false,工厂生产,
fairy tale,noun,,false,,
faith,noun,,false,,
farthing,,,false,,
faux fur,noun,,false,,
felt,noun,,false,毛毡,
fence,noun,,false,,
field dress,verb,,false,清理内脏,
field dressing,noun,,false,清理内脏,
filling,adjective,,false,,
filthy,adjective,"Describes a piece of clothing which is badly dirty and stinks, is dropped from zombies. The player might get penalties for wearing it, such as being infected.",false,肮脏,
firearm,noun,,false,枪械,
firearms,noun,,false,枪械,
firefighter,noun,,false,消防员,
firefighters,noun,,false,消防员,
fireplace,noun,,false,,
fireweed,noun,,false,,
firing pin,noun,,false,,
five point harness,noun,,false,五点式安全带,
flamethrower,noun,,false,火焰喷射器,
flaming,adjective,,false,燃烧,
flashlight,,,false,,
flechette,noun,ammo type,false,镖形弹,
fluid sac,noun,,false,液囊,
flush fitting,adjective,,false,,
foamcrete,noun,,false,,
focus,,,false,,
focus,noun,,false,,
fog,noun,,false,,
foil,noun,,false,,
foldable,adjective,,false,可折叠,
food dehydrator,noun,,false,食品脱水机,
foodstuff,noun,,false,,
forward grip,noun,,false,,
fowl,noun,,false,,
fpoon,noun,,false,,
frame,noun,,false,,
free merchants,noun,,false,,
freezer,noun,,false,冰柜,
freezers,noun,,false,冰柜,
fresh water,noun,,false,,
freshwater,noun,,false,,
fridge,noun,,false,,
fried eggs,,,false,煎蛋,
frill,noun,,false,,
frog,noun,,false,,
frostbite,noun,,false,冻伤,
frosted glass,noun,,false,毛玻璃,
fruit,noun,,false,水果,
fumes,noun,,false,,
fungaloid,noun,,false,真菌体,
fungicide,noun,,false,抗真菌剂,
funnel,noun,,false,漏斗,现在，漏斗有了其他用途（灌肠），所以不应该再翻译成集雨器了。
fur,noun,"item material, not on animal anymore; made from source material: pelt",false,毛皮,
fur pelt,noun,,false,毛皮,
fuse,noun,,false,,
fuses,noun,,false,,
fusion,,,false,,
fuze,noun,,false,,
gallimimus,noun,,false,似鸡龙,
gallon jug,noun,,false,加仑壶,
aketons||aketon,noun,可近似看gambeson。都是穿在护甲下的衬垫类衣物，唯一的区别是gambeson有时可单穿，而aketon专门穿在其他护甲下。都是绗缝工艺制作。,false,衬铠,
garden pot,noun,,false,花盆,
garden pots,noun,,false,花盆,
garlic,noun,,false,大蒜,
garnet,noun,,false,石榴石,
gasoline,,,false,,
gasoline,noun,,false,汽油,
gauntlet,noun,,false,护手,
gauntlets,noun,type of gloves,false,护手,
gel,noun,,false,凝胶,
genetic drift,noun,,false,,
giant,,,false,,
glass,adjective,,true,,
glass,noun,,false,玻璃,
glassteel,noun,,false,,
glazed,adjective,,false,,
glock,,,false,,
gluten free,adjective,,false,无麸质,
golemancer,noun,,false,,
goo,noun,,false,粘液,
goop,,,false,,
goop,noun,,false,,
gorget,,,false,,
gorgosaurus,noun,,false,戈尔冈龙,
gr,,grain (unit),false,格令,
gr.,noun,,false,,
graduated cylinder,noun,,false,量筒,
grain,,unit,false,格令,
grape,noun,,false,葡萄,
grass spider,noun,,false,,
gravel,noun,,false,,
grenade hack,,,false,,
grenade launcher,noun,,false,榴弹发射器,
grenade launchers,noun,,false,榴弹发射器,
grip,noun,,false,握把,
gritty,adjective,,false,,
grocery bot,,,false,,
grocery bot,noun,,false,,
growable pot,noun,,false,花盆,
growing,adjective,,false,生长||变得||增长,
guardin gnome,noun,,false,,
hack,noun,,false,,
hadrosaurus,noun,,false,鸭嘴龙,
halberd||halberds,noun,,false,战戟,
halfpike,noun,,false,,
hand drill,noun,,false,,
hand-loaded,adjective,,false,复装,
handguard,noun,,false,,
handgun,noun,,false,手枪,
handloaded,adjective,,false,复装,
handmade,adjective,,false,自制,
haphazardly,adverb,,false,,
hard hat,,,false,,
hard hats,,,false,,
hard hats and helmets,,,false,,
hardcover,,,false,,
hardcover,adjective,,false,精装,
hatchet,noun,,false,,
hauling rig,noun,,false,,
hazelnut,noun,,false,,
headlamp,,,false,,
headlamp,noun,,false,,
headshot,noun,,false,爆头,
heating element,noun,,false,加热元件,
heavy,adjective,,false,,
heavy cream,noun,,false,,
hefty,adjective,,false,,
helipad,noun,,false,,
herbal remedies,noun,,false,,
hexamine,noun,,false,,
hexogen,noun,,false,,
hey,,,false,,
hickory,adjective,,false,,
hide,noun,"crafting material dropped by monsters, can be made into leather",false,皮,
hide,verb,,false,隐藏,
hide site,noun,,false,藏匿点,
high carbon steel,noun,,false,高碳钢,
high steel,noun,,false,高碳钢,
hollow point,,used as prefix (see “hollow point bullet”),false,空尖弹,
hollow point bullet,noun,,false,空尖弹,
hollow point bullets,noun,,false,空尖弹,
holographic sight,noun,,false,全息瞄准镜,
holster,noun,,false,枪套,
home-built,adjective,,false,自制,
homebase,noun,,false,,
homebrewing,noun,,false,,
homemade,adjective,,false,自制,
hop,noun,,false,啤酒花,
hopper,noun,,false,漏匣,
hops,noun,,false,啤酒花,
horse farm,noun,,false,,
hot dog,noun,,false,,
hotplate,noun,,false,电炉,
hotwire,verb,"hot-wiring, a method of starting a car with no key",false,短接,
housefly,noun,,false,,
hp,noun,horse power,false,,
huckleberry,noun,,false,越橘,
huge,adjective,,false,,
hulk,,,false,,
hulk,noun,,false,,
hull,noun,Shotgun shell,false,弹壳,
hydraulic,adjective,,false,液压,
hydrochloric acid,verb,,false,,
hydrogen,noun,,false,氢,
hydrogen peroxide,noun,,false,,
if supplied with power from UPS,,,false,,
impending,adjective,,false,,
improvised,adjective,,false,自制,
in a pinch,,,false,,
inactive,adjective,,false,关,
incompatible,adjective,,false,不兼容,
infused,adjective,,false,,
integral,adjective,(UK) contained within something; not separate,false,内置,
intelligence,noun,,false,智力,
intercom,noun,,false,,
inventory,noun,,false,,
invlet,noun,short for “inventory letter”,false,快捷键,
iron sight,noun,,false,机瞄,
irradiated,adjective,as in “irradiated food”,false,辐照,
item,noun,,false,物品,
jar,noun,,false,,
jerky,noun,,false,,
jet injector,noun,,false,注射器,
juggernaut,noun,,false,,
jumper cable,noun,,false,,
jumpsuit||jumpsuits,pronoun,,false,连体衣||连身衣||连体||连身,
juniper,noun,,false,杜松子,
juniper berry,noun,,false,杜松子,
junk shop,noun,,false,旧货店,
junkfood,noun,,false,垃圾食品,
junkshop,noun,,false,旧货店,
juvenile,adjective,,false,,
keg,noun,,false,桶,
kelvinist,noun,,false,炽霜法师,
kelwins,noun,,false,,
kerosene,noun,,false,,
kevlar,noun,,false,凯夫拉,
key,noun,,false,,
keybinding,noun,,false,按键设置,
kidney,noun,,false,,
killophant,noun,,false,,
kiln,noun,,false,窑,
kilt,noun,,false,苏格兰短裙,
knife,noun,,false,刀,
knock out,verb,,false,,
knuckleduster,noun,,false,,
kompot,noun,,false,,
kosmoceratops,noun,,false,科斯莫角龙,
krabgeks,noun,,false,魔眼怪,
kssht,interjection,,false,,
lab defense bot,,,false,,
lab defense bot,noun,,false,实验室防御机器人,
lab journals,,,false,,
lactose free,adjective,,false,无乳糖,
lard,noun,,false,,
larder,noun,,false,,
laser,noun,,false,激光,
laser sight,noun,,false,激光瞄具,
latch,noun,,false,,
lathe,noun,,false,,
launcher,noun,,false,发射器,
launchers,noun,,false,发射器,
leather,adjective,,false,,
leather,noun,,false,皮革,
leech,noun,,false,,
leg arm,noun,,false,,
leg guards,,,false,,
lentils,noun,,false,,
lesser,adjective,,false,,
level,verb,,false,级,
lever action,adjective,,false,,
ley line,noun,,false,灵脉,
ley lines,noun,,false,灵脉,
light batteries,noun,,false,,
light battery,noun,,false,,
lightweight,adjective,,false,轻便,
limb,noun,,false,,
limbs,noun,,false,,
liver,noun,,false,,
living quarters,noun,,false,,
living room,noun,,false,,
lizardfolk,adjective,,false,,
loader,noun,,false,装弹器,
locker,,,false,,
locket,noun,,false,,
log,noun,,false,,
loincloth,noun,,false,兜裆布,
long pork,noun,cannibal's slang term for human meat,false,人肉,
long-pork,noun,cannibal's slang term for human meat,false,人肉,
loot,,,false,,
loot,noun,,false,战利品,
loudspeakers,noun,,false,喇叭,
low carbon steel,noun,,false,,
lump,,,false,,
lump,noun,,false,,
lurker,noun,,false,,
lycra,noun,,false,氨纶,
machine gun,noun,,false,机枪,
machine pistol,noun,,false,连发手枪,
machinegun,noun,,false,,
made from lightweight Nomex fire-resistant fabric.,,,false,,
made from thin and lightweight Nomex fabric.,,,false,,
made sweeter and healthier with the addition of wholesome fruit.,,,false,,
magazine,,,false,弹匣||杂志,
magazine,noun,,false,,
magazines,noun,,false,弹匣||杂志,
magus,noun,,false,魔术师,
maiasaura,noun,,false,慈母龙,
maintenance security drone,,,false,,
makeshift,,,false,临时||简易||自制||简易自制,
makeshift,adjective,,false,临时||简易||自制||简易自制,
mall,noun,,false,,
mana,,,false,,
mana,noun,,false,魔力,
manatricity,noun,,false,,
mandibles,noun,,false,,
manhack,noun,a robot,false,飞锯无人机,
manhacks,noun,,false,飞锯无人机,
manhole,noun,,false,,
map extra,noun,,false,地图事件,
maple syrup,noun,,false,,
marshal,noun,,false,执法官,
marshall,noun,,false,,
mash,noun,,false,,
massive,adjective,,false,巨型,
mastodon,noun,,false,乳齿象,
materiel,noun,,false,,
mech,,,false,,
mech,noun,,false,,
medium carbon steel,noun,,false,,
medium steel,noun,,false,中碳钢,
megastore,noun,,false,购物广场,
melee,,,false,近战,
melee weapon,noun,,false,近战武器,
mend,verb,,false,,
menial labor,noun,,false,干杂活,
merch,noun,,false,商会币,
mesh,noun,,false,,
metal,adjective,,false,金属,
mi-go resin,,,false,米戈树脂,
microreactor,noun,,false,核反应堆,
mild steel,noun,,false,低碳钢,
milk cream,noun,,false,,
milspec,noun,"MIL-SPEC, written as single word for readability. MIL-SPEC is the code name for “Defense Specification” and an United States Military Standard. Feel free to treat this one either as a proper name or a descriptor.
See: https://en.wikipedia.org/wiki/United_States_Military_Standard",false,军用,
miner bot,noun,,false,钻掘机器人,
mininuke,noun,small nuclear explosive,false,微型核弹,
mininuke hack,,,false,,
mist,noun,,false,,
mod,noun,,false,模组||模块,
module,noun,,false,模组||模块,
modules,noun,,false,模组||模块,
moonshine,noun,"Refers to a home-made (!) high-proof distilled spirit. In your translation, ignore the “illegal” connotation of the term.",false,私酿威士忌,
morale,noun,,false,心情,
mosasaurus,noun,,false,沧龙,
moves,,,false,行动消耗,
mug,noun,,false,打劫,
mulberry,noun,,false,桑椹,
multitool,noun,,false,,
mutagen,noun,,false,诱变剂,
muzzle,noun,gun part,false,枪口,
nanofabricator,,,false,,
nanofabricator,noun,,false,纳米制造,
nanomesh,noun,,false,,
nanuqsaurus,noun,,false,白熊龙,
nearby,,,false,,
necklace,noun,,false,,
neoprene,noun,,false,氯丁橡胶,
nevertheless,adverb,,false,,
next-to-skin,adjective,,false,贴身,
niter,noun,,false,硝石,
no auto pickup zone,noun,,false,不拾取区域,
nodosaurus,noun,,false,结节龙,
nothronychus,noun,,false,懒爪龙,
nurse bot,,,false,,
nurse bot,noun,,false,,
nutmeg,noun,,false,肉豆蔻,
nutriment,,,false,,
nylon,noun,,false,尼龙,
oat,noun,,false,燕麦,
oats,noun,,false,燕麦,
occult,adjective,,false,,
of the Free Merchants,pronoun,,false,,
offal,noun,,false,内脏,
offroad,noun,,false,,
onyx,noun,,false,玛瑙,
oozing,adjective,"blob-related, mostly for vehicle parts",false,软泥,
opal,noun,,false,蛋白石,
opals,noun,,false,蛋白石,
open bolt,noun,,false,,
orichalcum,noun,,false,,
ork,noun,,false,,
ornithomimus,noun,,false,似鸟龙,
oryctodromeus,noun,,false,掘奔龙,
otherland,noun,,false,,
otherworldly,adjective,,false,,
outer,adjective,,false,,
overbore,,,false,,
overhead lights,noun,Vehicle floodlights and red&blue lights,false,车顶灯,
overlay,noun,,false,,
overmap,,,false,,
overmap,noun,,false,大地图,
owlbear,,,false,,
owlbear,noun,magical creature from dnd,false,枭熊,
pachycephalosaurus,noun,,false,厚头龙,
pachyrhinosaurus,noun,,false,厚鼻龙,
padding,noun,,false,,
paddock,noun,,false,,
painstakingly,adverb,,false,,
pair,,,false,,
pair of boots,,,false,靴,
pairs,,,false,,
pallet,noun,,false,,
pallets,noun,,false,,
pamphlet,noun,,false,,
pan magazine,noun,,false,盘式弹匣,
pancake,noun,,false,,
pantry,noun,,false,,
paper wrapper,noun,,false,,
paperback,,,false,,
paperback,adjective,,false,平装,
parasaurolophus,noun,,false,副栉龙,
party,noun,group/faction of people,false,团,
passionfruit,noun,,false,百香果,
patch,noun,,false,,
pearl,noun,,false,珍珠,
pearls,noun,,false,珍珠,
pebble,noun,,false,石子,
pecan,noun,,false,美洲山核桃,
peep,noun,,false,窥孔,
pellets,noun,,false,,
pelt,,,false,,
pelt,noun,"material dropped by monsters, can be made into fur",false,毛皮,
pen,noun,,false,,
pendant,noun,,false,,
penetrator,noun,,false,穿甲弹,
pentaceratops,noun,,false,五角龙,
perception,noun,,false,感知,
perch,noun,,false,,
peridot,noun,,false,橄榄石,
peridots,noun,,false,橄榄石,
phase skulker,,,false,,
phyle,noun,,false,,
physician,noun,,false,,
piercing,adjective,,false,刺击,武器的一种伤害类型
pike (fish),noun,,false,,
pike (weapon),noun,,false,,
pike pole,noun,,false,,
pinch in,verb,multi-touch screen gesture: move two fingers together,false,双指内缩,
pinch out,verb,multi-touch screen gesture: move two fingers apart,false,双指外张,
pipe,noun,,false,钢管,
pistol,noun,,false,手枪,
pistols,noun,,false,手枪,
pixel minimap,noun,,false,小地图,
plank,noun,,false,,
planter,noun,,false,种植箱||播种机,
plantillas,,,false,,
plasma,noun,,false,等离子,
plastic,noun,,false,塑料,
plating,noun,,false,装甲板,
plutonium,noun,,false,钚,
plywood,noun,,false,,
poker,noun,,false,,
pole,noun,,false,,
polearm,noun,,false,长柄武器,
police bot,,,false,,
police bot,noun,,false,警用机器人,
polyester,noun,,false,,
power armor,,,false,动力装甲,
power cutter,noun,,false,动力切割机,
power grid,noun,,false,,
pre-Cataclysm,,,false,,
prepper,noun,,false,,
preset,noun,,false,,
pressurized,adjective,,false,加压,
pretty useless now though.,,,false,,
primer,noun,,false,底火||引物,
priming,,,false,,
privacy fence,noun,,false,,
profession,noun,,false,职业,
proficiencies,,,false,专长,
proficiencies,noun,,false,专长,
proficiency,noun,,false,专长,
propellant,noun,,false,,
proprietary,adjective,,false,,
pteranodon,noun,,false,无齿翼龙,
pulp,verb,destroying a corpse to make sure it doesn't go up again,false,捣碎,
pump action,adjective,,false,,
purifier,noun,,false,,
purslane,noun,,false,,
quadcopter,noun,,false,,
quality,noun,,false,功能||质量,
quality (n),noun,,false,质量,
quarter,verb,for butchering,false,四分体,
quarterboard,noun,,false,半隔板,
quartermaster,,,false,,
quarterpanel,noun,,false,半隔板,
quarterstaff||quarterstaves,noun,,false,长棍,
quetzalcoatlus,noun,,false,风神翼龙,
quicklime,noun,,false,,
rabbit,,,false,,
rabbit,noun,,false,兔,
rack,noun,,false,弹药架,
racks,noun,,false,弹药架,
radiation sickness,,,false,,
radioisotope thermal generator,noun,,false,,
rag,noun,,false,布条,
raiders,,,false,,
rail,noun,,false,导轨,
railgun,noun,,false,轨道炮,
railguns,noun,,false,轨道炮,
railing,noun,,false,,
ram,noun,vehicle part,false,撞锤,
rammed earth,noun,,false,夯土,
ranged weapon,noun,,false,远程武器,
rapier,,,false,,
rapier,noun,,false,,
raspberry,noun,,false,木莓,
rat-shot,noun,shotgun ammo type,false,猎鼠弹,
raw skin,,,false,,
razorclaw,,,false,,
razorclaw,noun,monster from fallout series,false,利爪怪,
reach attack,noun,,false,远距攻击,
reach weapon,noun,,false,,
ream,verb,,false,,
rebar,noun,,false,,
recipe,noun,,false,,
recoil,adverb,,false,,
recoil,noun,,false,后坐力,
red dot sight,noun,,false,红点瞄准镜,
refrigerator,noun,,false,冰箱,
reinforce concrete,,,false,,
reinforced glass,noun,,false,强化玻璃,
reload,verb,,false,装填,
reloaded,adjective,ammo made by survivor from used shell,false,复装,
reloading,verb,,false,装填,
requires restart,,,false,,
resonance cascade,noun,,false,串联共振,
response,noun,,false,回复,
revivification,noun,,false,,
revolver,noun,,false,左轮手枪,
rifle,,,false,,
rifle,noun,,false,步枪,
rifles,noun,,false,步枪,
riot control bot,,,false,,
ripe,adjective,,false,已成熟,
robo-gaurdians,noun,,false,守护者机器人,
robot,noun,,false,机器人,
robots,noun,,false,机器人,
rocket candy,noun,sugar-based rocket propellent,false,火箭软糖,
rocket launcher,noun,,false,火箭发射器,
rocuronium,noun,,false,,
rollerblades,noun,,false,,
root cellar,noun,,false,,
rope,noun,,false,绳,
rotary magazine,noun,,false,螺旋弹匣,
rotovap,noun,,false,,
rotten,adjective,for rotten food,false,腐坏,
round,noun,,false,,
royal blue,adjective,,false,,
rubber mulch,noun,,false,,
rubies,noun,,false,红宝石,
ruby,noun,,false,红宝石,
rucksack,noun,,false,帆布包,
rust,noun,,false,,
rye,noun,,false,,
saber,noun,,false,,
sabre,noun,,false,,
safe,noun,,false,,
safe mode,noun,,false,安全模式,
sage-green,adjective,,false,,
saltpeter,noun,,false,硝石,
salvaged,,,false,回收,
sandman,noun,,false,,
sandwich,noun,,false,三明治,
sandwiches,noun,,false,三明治,
sapling,noun,,false,,
sapphire,noun,,false,蓝宝石,
sapphires,noun,,false,蓝宝石,
sassafras,noun,,false,,
saurornitholestes,noun,,false,蜥鸟盗龙,
sausage,noun,,false,,
scabbard,noun,,false,,
scavenge,,,false,,
scavenge,verb,gather resources of all sorts,false,拾荒,
scavenger,,,false,,
scavenger,noun,,false,拾荒者,
scavenging raid,noun,,false,拾荒行动,
schematic,noun,,false,原理图,
sclerotin,noun,,false,,
scope,noun,on firearms,false,瞄准镜,
scopes,noun,on firearms,false,瞄准镜,
scorched,adjective,,false,,
scrap,adjective,,false,废料,
scrap it for parts,,,false,,
scream mushroom,noun,,false,,
scrip,,,false,,
scroll,noun,,false,,
scutellosaurus,noun,,false,小盾龙,
sealed jar,noun,,false,密封罐头,
sealed jars,noun,,false,密封罐头,
searchlight,,,false,,
secubot,noun,,false,,
securely tied together for easier transport.  Disassemble to untie them.,,,false,,
securibot,noun,Also 'security bot',false,保安机器人,
security bot,,,false,,
security bot,noun,Also 'securibot',false,保安机器人,
security drone,,,false,,
serum,noun,,false,血清,
shack,,,false,,
shady zombies,,,false,,
shaman,noun,,false,,
shambler,,,false,蹒跚者,
shape-memory alloy,noun,,false,,
sheath,noun,,false,,
shed,noun,,false,,
sheet,noun,,false,,
sherry,noun,,false,,
shingle,noun,,false,,
shiv,noun,,false,,
shocker zombie,,,false,,
shortcut,noun,,false,快捷键,
shot,noun,shotgun ammo,false,霰弹||射击,
shot,verb,,false,开枪||射,
shotgun,,,false,,
shotgun,noun,,false,霰弹枪||霰弹,
shotguns,noun,,false,霰弹枪||霰弹,
shrapnel,,,false,,
shrapnel,noun,,false,,
shrub,noun,,false,灌木,
side sword,noun,,false,,
sidebar,noun,,false,,
silver,,,false,银,
sinew,noun,,false,,
siphon,verb,of fuel,false,抽取,
skill,noun,,false,技能,
skillet,noun,,false,,
skills,noun,,false,技能,
skirmisher,noun,,false,,
skitterbot,,,false,,
skitterbot,noun,,false,,
slide,noun,,false,,
slime,noun,,false,变形怪,
slime (n),noun,,false,,
slimes,noun,,false,变形怪,
slimespring,noun,,false,变形怪同伴,
sling,noun,,false,,
slingshot,,,false,,
slingshot,noun,,false,弹弓,
slingshots,,,false,,
sliver,noun,,false,,
sludge,,,false,,
slug,noun,shotgun ammo type,false,独头弹,
slugs,noun,"shotgun ammo type, plural",false,独头弹,
slurry,noun,,false,,
smartphone,,,false,,
smoking rack,noun,,false,烟熏架,
smoothbore,adjective,,false,,
snail magazine,noun,,false,蜗式弹匣,
snare,noun,kind of trap with a rope,false,陷阱,
soft point bullets,noun,,false,软尖弹,SP
solar pack,noun,,false,太阳能背包,
soot,noun,,false,,
spare parts,,,false,,
spare parts,noun,,false,零件,
spawn,verb,,false,,
spec,noun,,false,,
speedloader,noun,,false,快速装弹器,
spell,noun,,false,法术,
spellcraft,noun,,false,,
spiderling,noun,,false,,
spiked,adjective,"1.slang term to describe a drink or dish to which alcohol or another drug has been added to it NOTE: only used in spiked eggnog, suggest to remove.
2. with spike",false,,
spinwheel,,,false,,
spire,noun,giant Fungal structure,false,,
splint,noun,,false,,
splintered wood,,,false,,
split rail fence,noun,,false,,
springstaff,noun,,false,,
springstaves,noun,,false,,
spurge,noun,,false,大戟,spurge大戟，大戟科植物。原译名“锦地草”未找到可靠来源，搜索结果重定向为“地锦草”，而地锦草（Humifuse Euphorbia Herb）虽然为大戟科植物却并无游戏中的治疗咳喘效果，有治哮喘药效的只有“大戟”这一译名相符。另外，严格字符串匹配搜索“锦地草”所能找到的最早文献资料是写于清朝的《本草易读》一书；本书是对《本草纲目》的注释读本，但搜索《本草》全书并未找到“锦地草”一词，只有“地锦”，与上述结果相符，怀疑“锦地草”是该作者讹误或方言；再者，“锦地草”所能查到的最权威信息“美洲锦地草”来自一个名为“爱查查”的不知名查询网站并被可靠性存疑的“中英文花卉译名.doc”采用，然而谷歌同页下方就有正确译名“美洲地锦”。综上，认定spurge应为大戟而非地锦或“锦地草”。敦促相关人员端正态度。
staff,noun,,false,,
staff sling,noun,,false,,
stall,noun,,false,,
stamina,,,false,,
stamina,noun,,false,耐力,
stat,noun,,false,属性,
stats,noun,,false,属性,
steam engine,,,false,,
steam turbine,,,false,,
steampunk,adjective,,false,,
steed,noun,,false,,
steel barrel with a watertight lid.,,,false,,
steerable,,,false,,
stegosaurus,noun,,false,剑龙,
stem,noun,,false,,
stenonychosaurus,noun,,false,伤齿龙,
sterile,adjective,,false,无菌,
sterilize,verb,,false,灭菌,"灭菌需要区别于消毒，其手段通常更加极端（如高压蒸汽灭菌、干热灭菌）。
通常用于对微生物杀灭程度要求极高的场合，如医疗器械、食品安全领域。"
stick magazine,noun,,false,条形弹匣,
still,noun,,false,,
still in their shell.,,,false,,
stimulant delivery system,noun,,false,兴奋剂注射器,
stirge,noun,,false,蚊蝠,
stirges,noun,,false,蚊蝠,
stopping power,noun,,false,停止力,
storage,noun,,false,存储空间,
storage batteries,noun,,false,蓄电池,
storage battery,noun,,false,蓄电池,
storeroom,noun,,false,,
stout,adjective,,false,,
stove,noun,,false,,
strapped,adjective,,false,,
straps,noun,,false,,
strawberry,noun,,false,草莓,
stray,noun,,false,,
strength,noun,,false,力量,
stress,noun,,false,,
string,noun,,false,,
stringy,adjective,,false,,
struthiomimus,noun,,false,似鸵龙,
stun,,,false,,
stun,verb,,false,击晕,
submap,noun,,false,子地图,
subway,noun,,false,,
sulfur,noun,,false,硫磺,
summon,,,false,,
sunfish,noun,,false,,
suppressor,noun,,false,消音器,
surface people,,,false,,
survivalist,,,false,,
sweetbread,noun,,false,杂碎,
sweetbreads,noun,,false,杂碎,
t-substrate,,,false,,
tablet,,,false,,
tablet,noun,,false,,
tainted,adjective,for food dangerous to consume,false,被感染,
tallow,noun,,false,,
talon,noun,,false,,
tannery,,,false,,
tanning,noun,,false,,
target pistol,noun,,false,,
tazer,noun,or taser,false,电击枪,
tazers,noun,,false,电击枪,
teargas,noun,,false,催泪瓦斯,
technomancer,noun,,false,科技法师,
telepad,noun,,false,,
tempered sheet,,,false,,
template,noun,,false,模板,
tendril,noun,,false,,
terrain,noun,,false,地形,
test tube,noun,,false,试管,
test tubes,noun,,false,试管,
textbook,noun,,false,,
that ends with a small orifice at the tip.  Glistening liquid seems to drip out periodically.,,,false,,
the Arrival,noun,,false,降临之日,
the Discontinuity,noun,,false,大隔绝,
the Man,noun,slang term for “the powers that be”,false,,
their,pronoun,,false,,
their shells have been removed.,,,false,,
"this could grant access at one control panel, if you can find one.",,,false,,
"this could grant one-time access to athis could grant one-time access to a card reader, if you can find one. card reader, if you can find one.",,,false,,
thorny,adjective,,false,,
threshold,noun,,false,,
thrust,,,false,,
thunderous,adjective,,false,,
tile,noun,"one ingame step, size may vary.",false,格,
tileset,noun,,false,,
tinder,noun,,false,,
titanium,noun,,false,钛,
toad,noun,,false,,
toecaps,noun,,false,,
token,noun,,false,,
tomato,noun,,false,番茄,统一一下吧，一会儿番茄一会儿西红柿的，不好搜索
tomatoes,noun,,false,番茄,
tongue-in-groove,noun,,false,,
torosaurus,noun,,false,牛角龙,
torvosaurus,noun,,false,蛮龙,
tourmaline,noun,,false,电气石,
tourmalines,noun,,false,电气石,
towel,,,false,,
tracer,noun,ammo type,false,曳光弹,
trailhead,noun,,false,林间小径起点,
trait,,,false,,
trait,noun,,false,特性,
traits,noun,,false,特性,
tramadol,noun,,false,曲马朵,
translocator,noun,,false,,
traveler,noun,,false,,
tray,noun,,false,托盘,
